#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         527     -0.6904   -0.762717  0.00401912
         528     -0.7696    -0.76273  0.00401153
         529      -0.768    -0.76274  0.00400395
         530     -0.7672   -0.762749  0.00399641
         531     -0.6872   -0.762606  0.00399141
         532     -0.8456   -0.762762  0.00398696
         533     -0.6816    -0.76261  0.00398239
         534       -0.76   -0.762605  0.00397493
         535     -0.7608   -0.762602   0.0039675
         536     -0.7632   -0.762603   0.0039601
         537     -0.7624   -0.762603  0.00395273
         538      -0.764   -0.762605  0.00394538
         539     -0.7656   -0.762611  0.00393806
         540     -0.6864    -0.76247   0.0039333
         541      -0.688   -0.762332  0.00392844
         542     -0.7664   -0.762339   0.0039212
         543     -0.7656   -0.762345  0.00391398
         544      -0.684   -0.762201  0.00390943
         545     -0.6008   -0.761905  0.00391346
         546     -0.6776   -0.761751  0.00390934
         547     -0.6008   -0.761457  0.00391325
         548     -0.5968   -0.761156  0.00391763
         549        -0.6   -0.760863  0.00392147
         550     -0.6008   -0.760572  0.00392513
         551     -0.5968   -0.760274  0.00392924
         552     -0.7584   -0.760271  0.00392212
         553     -0.7584   -0.760268  0.00391503
         554     -0.7576   -0.760263  0.00390797
         555     -0.6792   -0.760117  0.00390366
         556     -0.7608   -0.760118  0.00389664
         557     -0.6808   -0.759976  0.00389224
         558     -0.6808   -0.759834  0.00388785
         559     -0.6824   -0.759695  0.00388336
         560     -0.6832   -0.759559  0.00387883
         561     -0.6824   -0.759421  0.00387435
         562     -0.6784   -0.759277  0.00387014
         563     -0.5984   -0.758991   0.0038738
         564     -0.5976   -0.758705  0.00387749
         565     -0.6792   -0.758564  0.00387318
         566       -0.68   -0.758425  0.00386882
         567       -0.68   -0.758287  0.00386447
         568      -0.604   -0.758015   0.0038672
         569     -0.7688   -0.758034  0.00386045
         570     -0.6048   -0.757766  0.00386303
         571     -0.6016   -0.757492  0.00386593
         572     -0.6008   -0.757218  0.00386887
         573     -0.6792   -0.757082  0.00386451
         574       -0.68   -0.756948  0.00386011
         575       -0.76   -0.756953   0.0038534
         576     -0.6776   -0.756815  0.00384917
         577     -0.7576   -0.756817   0.0038425
         578     -0.7576   -0.756818  0.00383585
         579     -0.7584   -0.756821  0.00382923
         580     -0.5992   -0.756549  0.00383226
         581       -0.76   -0.756555  0.00382567
         582     -0.8352    -0.75669  0.00382148
         583     -0.8352   -0.756825   0.0038173
         584      -0.836    -0.75696  0.00381317
         585      -0.836   -0.757095  0.00380904
         586     -0.7592   -0.757099  0.00380254
         587       -0.84    -0.75724  0.00379869
         588     -0.8392    -0.75738  0.00379478
         589     -0.8424   -0.757524  0.00379108
         590     -0.8392   -0.757662  0.00378719
         591     -0.5936   -0.757385  0.00379094
         592     -0.7536   -0.757378  0.00378454
         593      -0.756   -0.757376  0.00377816
         594       -0.76    -0.75738   0.0037718
         595     -0.8408   -0.757521  0.00376807
         596     -0.6784   -0.757388  0.00376408
         597     -0.7584    -0.75739  0.00375778
         598       -0.68    -0.75726  0.00375372
         599       -0.68   -0.757131  0.00374967
         600     -0.6048   -0.756877    0.003752
         601     -0.7632   -0.756888  0.00374578
         602     -0.7648   -0.756901  0.00373958
         603     -0.7656   -0.756915   0.0037334
         604     -0.7656    -0.75693  0.00372725
         605      -0.764   -0.756941  0.00372111
         606        -0.6   -0.756683  0.00372397
         607     -0.6832   -0.756561   0.0037198
         608     -0.6824   -0.756439  0.00371568
         609     -0.6808   -0.756315  0.00371166
         610     -0.6784   -0.756188  0.00370777
         611     -0.8392   -0.756323  0.00370419
         612     -0.8416   -0.756463  0.00370076
         613     -0.7616   -0.756471  0.00369473
         614     -0.8408   -0.756608  0.00369126
         615     -0.7592   -0.756613  0.00368526
         616     -0.8384   -0.756745  0.00368167
         617     -0.8344   -0.756871  0.00367785
         618     -0.8352   -0.756998  0.00367409
         619      -0.836   -0.757126  0.00367037
         620     -0.8384   -0.757257  0.00366679
         621     -0.8408   -0.757391  0.00366335
         622     -0.7616   -0.757398  0.00365747
         623     -0.8424   -0.757535  0.00365414
         624     -0.7664   -0.757549  0.00364831
         625     -0.8472   -0.757692  0.00364529
         626     -0.7672   -0.757707   0.0036395
         627      -0.848   -0.757851  0.00363654
         628     -0.8488   -0.757996  0.00363364
         629      -0.848   -0.758139  0.00363068
         630     -0.8504   -0.758286  0.00362787
         631     -0.8488   -0.758429  0.00362495
         632      -0.932   -0.758704   0.0036296
         633     -0.9336    -0.75898  0.00363437
         634     -0.9336   -0.759256  0.00363906
