#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         556   -0.550184   -0.519001 0.000813207
         557    -0.55074   -0.519058 0.000813741
         558   -0.551269   -0.519116 0.000814328
         559   -0.551772   -0.519174 0.000814964
         560   -0.552245   -0.519234 0.000815645
         561   -0.552687   -0.519293 0.000816368
         562   -0.553103   -0.519353 0.000817129
         563   -0.553491   -0.519414 0.000817925
         564   -0.553851   -0.519475  0.00081875
         565   -0.554183   -0.519536 0.000819603
         566    -0.55449   -0.519598 0.000820478
         567   -0.554767    -0.51966 0.000821372
         568   -0.555018   -0.519722 0.000822281
         569   -0.555238   -0.519785 0.000823202
         570   -0.555436   -0.519847  0.00082413
         571   -0.555608    -0.51991 0.000825063
         572   -0.555761   -0.519973 0.000825998
         573   -0.555886   -0.520035 0.000826931
         574   -0.555996   -0.520098  0.00082786
         575   -0.556085   -0.520161 0.000828783
         576   -0.556156   -0.520223 0.000829696
         577   -0.556212   -0.520285   0.0008306
         578   -0.556249   -0.520348  0.00083149
         579   -0.556276    -0.52041 0.000832366
         580   -0.556285   -0.520472 0.000833226
         581   -0.556283   -0.520533 0.000834068
         582   -0.556268   -0.520595 0.000834892
         583   -0.556247   -0.520656 0.000835697
         584    -0.55622   -0.520717 0.000836482
         585    -0.55619   -0.520777 0.000837247
         586   -0.556154   -0.520838 0.000837992
         587    -0.55611   -0.520898 0.000838716
         588   -0.556073   -0.520958  0.00083942
         589   -0.556036   -0.521017 0.000840105
         590   -0.556008   -0.521076 0.000840772
         591   -0.555985   -0.521136 0.000841421
         592   -0.555968   -0.521194 0.000842055
         593   -0.555963   -0.521253 0.000842674
         594   -0.555967   -0.521311 0.000843279
         595   -0.555987    -0.52137 0.000843873
         596   -0.556022   -0.521428 0.000844458
         597   -0.556071   -0.521486 0.000845035
         598    -0.55614   -0.521544 0.000845606
         599   -0.556227   -0.521602 0.000846175
         600   -0.556336    -0.52166 0.000846742
         601   -0.556468   -0.521718 0.000847312
         602   -0.556621   -0.521776 0.000847886
         603   -0.556802   -0.521834 0.000848467
         604   -0.557009   -0.521892 0.000849059
         605   -0.557244    -0.52195 0.000849664
         606   -0.557512   -0.522009 0.000850285
         607   -0.557799   -0.522068 0.000850927
         608   -0.558117   -0.522127  0.00085159
         609   -0.558465   -0.522187  0.00085228
         610   -0.558843   -0.522247 0.000852998
         611    -0.55925   -0.522308  0.00085375
         612   -0.559689   -0.522369 0.000854537
         613   -0.560152    -0.52243 0.000855363
         614    -0.56065   -0.522493 0.000856232
         615   -0.561173   -0.522555 0.000857146
         616   -0.561722   -0.522619  0.00085811
         617   -0.562296   -0.522683 0.000859125
         618   -0.562898   -0.522748 0.000860196
         619   -0.563517   -0.522814 0.000861324
         620   -0.564158   -0.522881 0.000862512
         621   -0.564817   -0.522948 0.000863763
         622   -0.565489   -0.523017 0.000865078
         623   -0.566174   -0.523086 0.000866458
         624   -0.566872   -0.523156 0.000867907
         625   -0.567576   -0.523227 0.000869423
         626   -0.568278   -0.523299 0.000871008
         627   -0.568991   -0.523372 0.000872662
         628   -0.569699   -0.523446 0.000874384
         629   -0.570404   -0.523521 0.000876175
         630   -0.571105   -0.523596 0.000878034
         631   -0.571793   -0.523673 0.000879959
         632   -0.572467    -0.52375 0.000881947
         633   -0.573123   -0.523828 0.000883996
         634   -0.573763   -0.523907 0.000886103
         635   -0.574376   -0.523986 0.000888265
         636   -0.574959   -0.524066 0.000890477
         637   -0.575512   -0.524147 0.000892734
         638   -0.576028   -0.524228 0.000895031
         639   -0.576505    -0.52431 0.000897361
         640   -0.576941   -0.524392 0.000899719
         641    -0.57733   -0.524475 0.000902098
         642   -0.577675   -0.524558 0.000904491
         643   -0.577963   -0.524641  0.00090689
         644   -0.578195   -0.524724 0.000909286
         645   -0.578377   -0.524807 0.000911673
         646   -0.578491    -0.52489 0.000914042
         647   -0.578537   -0.524973 0.000916382
         648   -0.578515   -0.525056 0.000918685
         649   -0.578418   -0.525138 0.000920942
         650   -0.578245    -0.52522 0.000923142
         651   -0.577995   -0.525301 0.000925277
         652   -0.577664   -0.525381 0.000927337
         653   -0.577245   -0.525461 0.000929312
         654   -0.576745   -0.525539 0.000931193
         655   -0.576158   -0.525616 0.000932973
         656   -0.575477   -0.525692 0.000934641
         657   -0.574703   -0.525767 0.000936191
