#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
       602               -0.28            0.269568           0.0158722
       603               -0.16            0.268856           0.0158619
       604               -0.24            0.268013            0.015858
       605               -0.36            0.266975           0.0158657
       606               -0.36            0.265941           0.0158732
       607               -0.32            0.264975           0.0158764
       608               -0.32            0.264013           0.0158794
       609               -0.32            0.263054           0.0158822
       610               -0.28            0.262164           0.0158811
       611               -0.44            0.261015           0.0158967
       612               -0.48            0.259804           0.0159167
       613                -0.4            0.258728           0.0159271
       614               -0.44             0.25759           0.0159418
       615                -0.6            0.256195           0.0159767
       616               -0.64             0.25474           0.0160169
       617               -0.72             0.25316           0.0160687
       618               -0.52            0.251909           0.0160913
       619               -0.36            0.250921           0.0160956
       620               -0.24            0.250129           0.0160891
       621                -0.2            0.249404           0.0160796
       622               -0.12             0.24881           0.0160647
       623               -0.08            0.248283           0.0160475
       624               -0.48            0.247115           0.0160642
       625               -0.36            0.246144           0.0160679
       626               -0.12            0.245559           0.0160528
       627               -0.24            0.244785           0.0160459
       628                0.04            0.244459           0.0160237
       629                0.12            0.244261           0.0159994
       630                0.32            0.244381           0.0159745
       631                 0.4            0.244628            0.015951
       632                0.28            0.244684           0.0159259
       633                0.24            0.244676           0.0159008
       634                0.04            0.244353           0.0158789
