#  BLOCK      BIN       VELOCITY     AVE_POFV    CUM_POFV      ERROR
      25       6            2.6       0.310648       0.411435     0.00878314
      25       7              3       0.166435       0.261296       0.013478
      25       8            3.4       0.132639         0.1565      0.0125492
      25       9            3.8      0.0525463      0.0914722     0.00663636
      25      10            4.2      0.0231481      0.0254074     0.00522236
      25      11            4.6      0.0231481     0.00815741     0.00226927
      25      12              5              0     0.00152778    0.000741204
      25      13            5.4              0      0.0111296     0.00201137
      25      14            5.8              0     0.00576852     0.00163755
      25      15            6.2              0     0.00238889     0.00117302
      25      16            6.6              0     0.00087963    0.000861858
      25      17              7              0              0              0
      25      18            7.4              0              0              0
      25      19            7.8              0              0              0
      26       0            0.2      0.0756944      0.0255965     0.00399706
      26       1            0.6       0.209028       0.120085       0.010893
      26       2              1       0.299769       0.258974      0.0142516
      26       3            1.4        0.32963         0.3457      0.0151699
      26       4            1.8       0.436343       0.387918      0.0117765
      26       5            2.2        0.47662       0.397418      0.0125852
      26       6            2.6       0.265509       0.405823      0.0100803
      26       7              3       0.129861       0.256241      0.0138753
      26       8            3.4       0.161806       0.156704      0.0120682
      26       9            3.8      0.0608796      0.0902956     0.00648459
      26      10            4.2       0.031713      0.0256499     0.00502713
      26      11            4.6      0.0231481     0.00873397     0.00225404
      26      12              5              0     0.00146902    0.000715021
      26      13            5.4              0      0.0107016     0.00197903
      26      14            5.8              0     0.00554665     0.00158953
      26      15            6.2              0     0.00229701      0.0011315
      26      16            6.6              0    0.000845798    0.000829373
      26      17              7              0              0              0
      26      18            7.4              0              0              0
      26      19            7.8              0              0              0
      27       0            0.2      0.0655093      0.0270748     0.00411331
      27       1            0.6       0.244444       0.124691      0.0114219
      27       2              1       0.299074        0.26046      0.0138009
      27       3            1.4       0.293056        0.34375      0.0147328
      27       4            1.8       0.511574       0.392498      0.0121984
      27       5            2.2       0.469676       0.400094      0.0124004
      27       6            2.6       0.235648        0.39952      0.0115099
      27       7              3      0.0849537       0.249897      0.0147405
      27       8            3.4       0.169213       0.157167      0.0116301
      27       9            3.8        0.05625      0.0890346     0.00636583
      27      10            4.2       0.062037      0.0269976     0.00501833
      27      11            4.6     0.00856481     0.00872771     0.00217057
      27      12              5              0     0.00141461    0.000690606
      27      13            5.4              0      0.0103052     0.00194502
      27      14            5.8              0     0.00534122     0.00154387
      27      15            6.2              0     0.00221193     0.00109278
      27      16            6.6              0    0.000814472    0.000799247
      27      17              7              0              0              0
      27      18            7.4              0              0              0
      27      19            7.8              0              0              0
      28       0            0.2      0.0819444      0.0290344     0.00440855
      28       1            0.6       0.266898        0.12977      0.0120905
      28       2              1       0.225926       0.259226       0.013363
      28       3            1.4       0.290046       0.341832      0.0143309
      28       4            1.8       0.615278       0.400455      0.0141211
      28       5            2.2       0.399306       0.400066      0.0119575
      28       6            2.6       0.251852       0.394246      0.0122477
      28       7              3      0.0956019       0.244387      0.0152093
      28       8            3.4       0.133565       0.156324      0.0112452
      28       9            3.8      0.0641204      0.0881448     0.00620036
      28      10            4.2      0.0643519      0.0283317     0.00501329
      28      11            4.6      0.0111111     0.00881283     0.00209472
      28      12              5              0     0.00136409    0.000667787
      28      13            5.4              0     0.00993717     0.00191006
      28      14            5.8              0     0.00515046     0.00150047
      28      15            6.2              0     0.00213294     0.00105661
      28      16            6.6              0    0.000785384    0.000771231
      28      17              7              0              0              0
      28      18            7.4              0              0              0
      28      19            7.8              0              0              0
      29       0            0.2      0.0664352      0.0303241     0.00444117
      29       1            0.6       0.293287       0.135409      0.0129217
      29       2              1       0.280556       0.259962      0.0129225
      29       3            1.4       0.301389       0.340437      0.0139045
      29       4            1.8        0.50625       0.404103      0.0140975
      29       5            2.2       0.427083       0.400998      0.0115815
      29       6            2.6       0.262269       0.389695      0.0126426
      29       7              3      0.0907407       0.239088      0.0155803
      29       8            3.4       0.108565       0.154678      0.0109774
      29       9            3.8      0.0773148      0.0877714     0.00599779
      29      10            4.2      0.0861111      0.0303241     0.00522134
      29      11            4.6              0     0.00850894     0.00204441
      29      12              5              0     0.00131705    0.000646414
      29      13            5.4              0     0.00959451     0.00187468
      29      14            5.8              0     0.00497286     0.00145921
      29      15            6.2              0     0.00205939     0.00102273
      29      16            6.6              0    0.000758301    0.000745113
      29      17              7              0              0              0
      29      18            7.4              0              0              0
      29      19            7.8              0              0              0
      30       0            0.2      0.0578704      0.0312423     0.00438703
      30       1            0.6       0.227546        0.13848      0.0128507
      30       2              1       0.373611        0.26375      0.0130352
      30       3            1.4        0.30162       0.339144       0.013501
      30       4            1.8       0.480093       0.406636      0.0138533
